                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.105,                0.69496,                  1.074,                 1.2275,                0.71569,                 1.1033,                0.84698,                0.78525,                0.86129,                0.55315,                 1.1805,                0.63802,                 1.1739,                 1.2607,                0.58775,                 1.1932,              0.0088179,              0.0088179,              0.0088179
                     35,                 1.0974,                0.67715,                 1.0645,                 1.2204,                0.68928,                  1.098,                0.79277,                0.73899,                0.78653,                0.51104,                 1.1946,                0.62749,                 1.1552,                 1.2669,                  0.579,                 1.1871,               0.008781,               0.008781,               0.008781
                     36,                 1.0982,                0.68546,                 1.0698,                 1.2198,                0.68818,                 1.1018,                0.78891,                0.76771,                0.82406,                0.51737,                 1.1808,                0.63239,                 1.1857,                 1.2402,                0.60927,                 1.1911,               0.008744,               0.008744,               0.008744
                     37,                 1.1199,                0.69664,                 1.0752,                 1.2387,                0.70639,                 1.1077,                0.86039,                0.74841,                 0.8421,                0.54445,                 1.1841,                0.64778,                 1.1691,                 1.2277,                0.64608,                 1.1733,              0.0087071,              0.0087071,              0.0087071
                     38,                 1.0945,                  0.684,                 1.0669,                  1.213,                0.70271,                 1.0943,                0.79209,                0.78368,                0.80458,                0.51621,                 1.1703,                0.62434,                 1.1463,                 1.2431,                  0.584,                  1.179,              0.0086701,              0.0086701,              0.0086701
                     39,                 1.1116,                0.69072,                 1.0678,                 1.2315,                0.70466,                 1.1034,                0.83043,                0.79832,                0.84425,                0.53287,                 1.1868,                 0.6166,                 1.1446,                 1.2476,                0.60239,                 1.1751,              0.0086332,              0.0086332,              0.0086332
                     40,                  1.092,                0.67761,                 1.0645,                 1.2104,                0.69224,                 1.0905,                0.84126,                0.78952,                0.85223,                 0.5521,                 1.1664,                0.61558,                  1.149,                 1.2203,                0.56162,                 1.1673,              0.0085963,              0.0085963,              0.0085963
                     41,                 1.0797,                0.66769,                 1.0589,                 1.1922,                 0.6779,                 1.0886,                0.76617,                0.81284,                0.81881,                 0.5293,                 1.1686,                 0.6273,                 1.1372,                 1.2371,                0.58604,                 1.1631,              0.0085593,              0.0085593,              0.0085593
                     42,                 1.0882,                 0.6749,                 1.0561,                 1.2103,                0.68075,                 1.0823,                0.86115,                0.76265,                0.82523,                0.52921,                 1.1955,                0.63218,                 1.1622,                 1.2383,                0.60406,                 1.1841,              0.0085224,              0.0085224,              0.0085224
                     43,                 1.0985,                 0.6731,                 1.0548,                 1.2178,                0.67167,                 1.0818,                0.80242,                0.75777,                0.78322,                0.50312,                 1.1635,                0.60809,                 1.1657,                 1.2419,                0.58503,                 1.1856,              0.0084854,              0.0084854,              0.0084854
